ID,HomeCountry,Gender,Responded,Company,Success,Driver,1. Complex PS,2. Critical Thinking,3. Creativity,4. People Mgmt,5. Coord with Others,6. Emotional Int,7. Judgement and D-M,8. Service Orientation,9. Negotiation,10. Cognitive Flexibility
1(AN),Morocco,F,1,Intel,YouTube Team,"Climate Change, Nat Res",3,5,2,3,3,1,5,1,1,4
2(AS),Russia,F,1,Klooway Technologies,Vitaliy Buterin,Women's Econ Power,"1. Persuasion skills - 3
2. Analytical type of thinking skills - 5
3. Programming language skills - 1
4. Emotional intelligence - 5
5. Communication skills - 5
6. IT skills -3
7. Fast learning skills-5
8. Problem solving skills-4
9. Team building skills-2
10. Negotiation skills -5",,,,,,,,,
3(BI),Morocco,M,,,,,,,,,,,,,,
4(BA),UK,M,,,,,,,,,,,,,,
5(BM),Morocco,F,1,AttijariWafa Bank,Oprah Winfrey,Women's Econ Power,1,2,5,5,5,4,4,3,4,4
6(BA),France,F,1,Amazon,Tim Cook,"Consumer Ethics, Privacy",,,,,,,,,,
7(BP),France,F,1,Roland Berger,Elon Musk,"Longevity, Ageing Soc",5,5,4,5,3,4,5,3,4,3
8(BA),Romania,F,1,Pago Ayles Winery,Simona Halep (Tennis Player),Artificial Intelligence,4,5,4,5,5,5,5,5,3,5
9(CI),France,F,1,Zara,Christine Lagarde,Middle Class in E Markets,4,5,3,4,4,5,5,2,4,3
10(CS),Korea (South),F,1,Uber,Risabae (YouTube Blogger),"Consumer Ethics, Privacy",5,5,5,5,5,4,5,4,5,5
11(CK),Hong Kong,F,1,Universal Music Group,Elon Musk,Artificial Intelligence,5,4,2,5,4,2,3,3,4,2
12(CJ),UK,F,1,Amazon,Yuna Kim (Figure Skater),Changing Nature of Work,5,5,1,4,5,2,5,4,5,Quality Control (5)
13(CK),Hong Kong,F,1,The Boring Company,Elon Musk,Women's Econ Power,4,4,5,5,3,3,4,5,2,3
14(CE),Romania,M,1,Tesla,Paul H O'Neill,"Consumer Ethics, Privacy",5,5,4,4,5,4,5,4,5,5
15(CE),UK,M,1,Amazon,Lord Alan Sugar,"Climate Change, Nat Res",3,5,2,4,5,5,5,4,3,5
16(DG),France,M,,,,,,,,,,,,,,
17(DA),France,M,1,Who is georges,Elon Musk,Artificial Intelligence,5,4,4,3,4,2,4,3,Missing Data,Missing Data
18(DE),France,F,,,,,,,,,,,,,,
19(DL),France,M,1,Ocean Clean-up,Henry Ford,"Processing Power, Big Data",4,5,4,4,3,4,5,4,Missing Data,Missing Data
20(DM),Romania,F,1,Johnson & Johnson,Anita Roddick,"Consumer Ethics, Privacy",5,4,5,5,5,5,5,3,2,5
21(EM),Germany,M,1,Uber,Tim Kentley-Klay,"Climate Change, Nat Res",5,5,5,5,4,5,5,4,4,5
22(FH),China,F,1,Alibaba,Kylie Jenner,"Longevity, Ageing Soc",5,4,3,5,4,4,3,3,4,4
